Date,UBS,UAL,UBER
,,,
19-08-2022,16.280001,37.5,29.01
22-08-2022,15.86,36.360001,28
23-08-2022,15.86,36.91,27.809999
24-08-2022,15.74,37.389999,28.709999
25-08-2022,16.059999,38.27,29.620001
26-08-2022,15.65,36.57,28.58
29-08-2022,15.96,36.02,28.74
30-08-2022,15.95,35.939999,28.709999
31-08-2022,15.85,35.009998,28.76
01-09-2022,15.41,35.18,28.92
02-09-2022,15.52,35.310001,29.049999
06-09-2022,15.62,36.580002,28.889999
07-09-2022,15.7,38.599998,30.030001
08-09-2022,16.110001,38.880001,30.68
09-09-2022,16.559999,39.259998,31.780001
12-09-2022,16.879999,39.220001,32.5
13-09-2022,16.84,37.790001,31.32
14-09-2022,16.68,38.43,33.049999
15-09-2022,16.83,38.900002,33.130001
16-09-2022,16.43,37.48,31.93
19-09-2022,16.440001,38.700001,31.49
20-09-2022,16.139999,38.169998,31.49
21-09-2022,15.9,36.119999,30.469999
22-09-2022,15.5,34.450001,28.58
23-09-2022,14.91,33.07,27.82
26-09-2022,14.62,31.9,26.889999
27-09-2022,14.61,32.830002,27.57
28-09-2022,15.03,33.919998,28.040001
29-09-2022,14.67,32.91,26.42
30-09-2022,14.51,32.529999,26.5
03-10-2022,14.79,32.810001,26.719999
04-10-2022,15.77,35.330002,29.190001
05-10-2022,15.35,35.419998,29.18
06-10-2022,14.76,34.959999,29.73
07-10-2022,14.66,33.860001,28.07
10-10-2022,14.41,34.200001,27.530001
11-10-2022,14.15,33.93,24.66
12-10-2022,13.99,34.23,25.98
13-10-2022,14.67,35.400002,25
14-10-2022,14.18,35.470001,24.709999
17-10-2022,14.59,36.099998,25.940001
18-10-2022,14.95,37.25,27.610001
19-10-2022,14.75,39.099998,27.530001
20-10-2022,14.73,39.049999,27.870001
21-10-2022,14.93,40.439999,28.02
24-10-2022,15.18,41.880001,27.65
25-10-2022,16.42,42.599998,28.360001
26-10-2022,16.16,42.450001,28.200001
27-10-2022,15.94,42.990002,27.82
28-10-2022,16.15,43.720001,27.5
31-10-2022,15.86,43.080002,26.57
01-11-2022,15.95,42.66,29.75
02-11-2022,15.72,41.110001,28.809999
03-11-2022,15.69,40.950001,28.73
04-11-2022,16.43,42.619999,28.389999
07-11-2022,16.52,42.779999,27.690001
08-11-2022,16.530001,42.18,27.440001
09-11-2022,16.42,42.369999,26.549999
10-11-2022,17.540001,44.330002,28.85
11-11-2022,18.6,44.709999,29.15
14-11-2022,18.27,44.029999,29.07
15-11-2022,18.43,44.040001,31.57
16-11-2022,18.32,43.290001,30.040001
17-11-2022,18.27,43.25,28.879999
18-11-2022,18.309999,43.82,28.959999
21-11-2022,18.33,43.43,28.25
22-11-2022,18.35,43.43,28.08
23-11-2022,18.459999,43.689999,28.790001
25-11-2022,18.549999,44.419998,28.5
28-11-2022,18.059999,43.02,27.76
29-11-2022,18.26,43.689999,27.76
30-11-2022,18.440001,44.169998,29.139999
01-12-2022,18.49,43.889999,28.34
02-12-2022,18.459999,43.889999,28.75
05-12-2022,18.48,45.029999,27.700001
06-12-2022,18.290001,45.919998,26.92
07-12-2022,18.23,44.060001,26.4
08-12-2022,18.190001,42.799999,26.450001
09-12-2022,18.24,43.040001,26.549999
12-12-2022,18.26,44.240002,27.030001
13-12-2022,18.76,41.169998,26.98
14-12-2022,18.42,40.099998,27.469999
15-12-2022,17.92,38.549999,26.24
16-12-2022,17.75,38.43,25.969999
19-12-2022,17.870001,37.98,24.950001
20-12-2022,18.030001,38.549999,24.959999
21-12-2022,18.52,39,25.360001
22-12-2022,18.389999,38.279999,24.639999
23-12-2022,18.620001,38.389999,24.639999
27-12-2022,18.639999,38.200001,24.4
28-12-2022,18.540001,37.290001,24.59
29-12-2022,18.799999,37.919998,24.91
30-12-2022,18.67,37.700001,24.73
03-01-2023,18.959999,37.209999,25.360001
04-01-2023,19.690001,39.720001,25.91
05-01-2023,19.559999,41.240002,25.549999
06-01-2023,19.889999,42.240002,26.4
09-01-2023,19.99,43.349998,27.4
10-01-2023,20.24,45.75,28.040001
11-01-2023,20.42,47.709999,28.35
12-01-2023,20.65,51.299999,29.030001
